Date,nifty_into,nifty_inth,nifty_intl,nifty_intc,nifty_vol,nifty_ImpulseMACD,nifty_ImpulseHisto,nifty_ImpulseMACDCDSignal,nifty_STX,nifty_psi,nifty_TSI,nifty_TSIs,nifty_velocity,nifty_smooth_velocity,usdinr_into,usdinr_inth,usdinr_intl,usdinr_intc,usdinr_vol,usdinr_ImpulseMACD,usdinr_ImpulseHisto,usdinr_ImpulseMACDCDSignal,usdinr_STX,usdinr_psi,usdinr_TSI,usdinr_TSIs,usdinr_velocity,usdinr_smooth_velocity
2016-07-15,8413.349609375,8594.7998046875,8407.0498046875,8541.400390625,904500,0.0,13.583015345878973,-13.583015345878973,0,85.63918074397871,16.869524783203428,5.7202385391943675,89.39863133150486,55.324859690711456,67.1449966430664,67.20999908447266,66.63999938964844,67.13300323486328,0,1.392292187146225,-0.12817875848354432,1.5204709456297694,0,100.0,7.433672311718926,8.834415203621052,0.003533029771770962,0.026137304382140264
2016-07-22,8564.0498046875,8587.099609375,8476.7001953125,8541.2001953125,785700,22.432819969052616,24.696810360023036,-2.263990390970422,0,74.8452514044358,19.224426288078938,7.649408217606449,65.22413741634497,57.30471523583817,67.13500213623047,67.47000122070312,66.9800033569336,67.14600372314453,0,1.3589649345053658,-0.1295652706411612,1.488530205146527,0,100.0,7.166070344627532,8.596080223764835,0.006415401093258083,0.02219292372436383
2016-07-29,8519.9501953125,8674.7001953125,8517.2001953125,8638.5,879400,70.09901594800158,59.81770084610647,10.281315101895112,0,59.61295604370906,21.792282546907742,9.669818836078061,74.41662599224158,60.72709738711885,67.40699768066406,67.41600036621094,66.5999984741211,66.64800262451172,0,1.292106973398191,-0.1602666124296408,1.4523735858278317,0,100.0,5.265226192224376,8.120243933544769,-0.11118413547318486,-0.004482488115145908
2016-08-05,8654.2998046875,8711.2998046875,8518.150390625,8683.150390625,843400,114.49695157038332,91.49375296066783,23.003198609715483,0,45.331169659098194,24.195518053233926,11.744918724243185,68.15325975952372,62.212329861599834,66.7509994506836,67.00299835205078,66.52999877929688,66.83499908447266,0,1.228845558304016,-0.1844314092142696,1.4132769675182857,0,100.0,4.277750698922681,7.571316328598757,-0.03420004294431,-0.010425999080978727
2016-08-12,8712.849609375,8728.349609375,8540.0498046875,8592.150390625,735500,151.43475523635607,111.60547271148991,39.82928252486616,0,34.305474654968954,25.2257807474359,13.670756156127858,32.34906769256134,56.23967742779214,66.79900360107422,66.96800231933594,66.6050033569336,66.89959716796875,0,1.1733771164983438,-0.20097222962691785,1.3743493461252616,0,100.0,3.666461240538256,7.013479887447256,-0.017963079683859646,-0.011933415201554911
2016-08-19,8670.25,8696.599609375,8600.4501953125,8666.900390625,755100,188.69382402943938,127.89856105685774,60.79526297258164,0,25.972279693327316,26.559629233228783,15.512023738570848,44.99375902659856,53.99049374755342,66.89450073242188,67.23999786376953,66.68000030517578,67.12750244140625,0,1.1335765727399831,-0.20061105126005274,1.3341876240000359,0,100.0,3.8967995235339026,6.568239835459634,0.03325638289932723,-0.0028954555813784826
2016-08-26,8667.0,8684.849609375,8547.5498046875,8572.5498046875,850000,215.99477586135436,131.20009334862223,84.79468251273212,0,19.969736316134867,26.607912647605342,17.097150725575776,12.198602166488953,45.63211543134053,67.197998046875,67.197998046875,66.80000305175781,67.12899780273438,0,1.0986674471647717,-0.1903824465054038,1.2890498936701755,0,100.0,4.093712569981191,6.214735940391285,0.018694970445303414,0.001422629623957897
2016-09-02,8583.75,8824.099609375,8543.75,8809.650390625,1072500,249.42631767074545,136.91759986126382,112.50871780948162,0,13.919970091455625,28.19148423942464,18.68205551326847,65.68956684649523,49.643605714371475,67.08319854736328,67.1500015258789,66.37999725341797,66.57279968261719,0,1.027722627772448,-0.2108625501476904,1.2385851779201384,0,100.0,2.224804703866829,5.644745763744934,-0.11478376382954456,-0.021818649066742597
2016-09-09,8852.7001953125,8968.7001953125,8848.4501953125,8866.7001953125,878800,293.03753349575527,147.96908974230084,145.06844375345443,0,9.580415825892757,29.83446951634982,20.275257513708663,60.2853149224365,51.77194755598448,66.42500305175781,67.0,66.06999969482422,66.77799987792969,0,0.9554328862270296,-0.22912114752367874,1.1845540337507083,0,100.0,1.414104149072672,5.040368390220325,-0.031118176850443414,-0.023678554623482763
2016-09-16,8732.9501953125,8847.650390625,8688.900390625,8779.849609375,780000,321.20679060438397,140.44870345044242,180.75808715394155,0,6.948266419671349,30.140746669329705,21.68461310736881,25.75205275526495,46.567968595840576,66.73999786376953,67.12120056152344,66.68000030517578,67.06529998779297,0,0.9214067476660688,-0.21082668169795538,1.1322334293640242,0,100.0,1.7774324241743362,4.574234680785184,0.038136597200508625,-0.011315524258684486
2016-09-23,8788.4501953125,8893.349609375,8757.2998046875,8831.5498046875,775700,350.269450775937,133.08507131011942,217.18437946581759,0,5.744065152962655,30.72345049812748,22.975875591762907,34.15342332692884,44.08505954205823,66.96199798583984,67.1500015258789,66.5199966430664,66.69650268554688,0,0.8688217946969985,-0.20895128579942934,1.0777730804964278,0,100.0,0.7021318367683779,4.0210771316399265,-0.06436078113922297,-0.021924575634792182
2016-09-30,8807.900390625,8809.5498046875,8555.2001953125,8611.150390625,1035500,359.01899226251044,109.73239320619189,249.28659905631855,0,5.859677520654195,28.52450764963902,23.76853731431664,-25.288763964984668,30.210294840649656,66.6073989868164,66.94300079345703,66.3324966430664,66.54650115966797,0,0.8045659020354066,-0.21903594830960071,1.0236018503450073,0,100.0,-0.7248508561633746,3.343087419096598,-0.07930269171617985,-0.03340019885106972
2016-10-07,8666.150390625,8806.9501953125,8635.0,8697.599609375,792800,371.72852330149544,93.86063849727554,277.8678848042199,0,7.305015268740398,27.344241106510463,24.2793521417729,3.97897539704529,24.964030951928784,66.4834976196289,66.87000274658203,66.3499984741211,66.59120178222656,0,0.7458614515179534,-0.22407549807304705,0.9699369495910004,0,99.99999999999999,-1.7209821571658825,2.619648908201958,-0.04471096042871208,-0.035662351166598195
2016-10-14,8735.349609375,8745.7998046875,8541.349609375,8583.400390625,483500,373.79898222634074,71.22396108990029,302.57502113644045,0,10.212523005943737,25.038628159687725,24.38782014433216,-25.270128754786263,14.917199010585776,66.50550079345703,66.9800033569336,66.49500274658203,66.7052993774414,0,0.7011192094784064,-0.21634463933260095,0.9174638488110074,0,100.0,-2.0958175963191303,1.9460108361275168,-0.009199009170303573,-0.030369682767339274
2016-10-21,8612.9501953125,8727.0,8506.150390625,8693.0498046875,904400,377.02010720486396,53.51994349337633,323.50016371148763,0,14.2489579809369,23.970077603895646,24.328142638555516,6.650495212175598,13.263858250903741,66.79000091552734,66.99250030517578,66.5999984741211,66.91120147705078,0,0.6702290116828493,-0.1957517747884765,0.8659807864713258,0,100.0,-1.5784253505638821,1.4425199523144598,0.03755182706725425,-0.01678538080042057
2016-10-28,8709.849609375,8736.9501953125,8550.25,8638.0,984500,378.4076843776638,36.86164194214183,341.546042435522,0,20.462071218784605,22.46439007183279,24.06189227188084,-10.408558791081807,8.529374842506632,66.83799743652344,66.94499969482422,66.62999725341797,66.78140258789062,0,0.636408574682136,-0.17821011484667482,0.8146186895288108,0,99.99999999999997,-1.6649521215013177,0.9985953703407774,-0.005544347257816626,-0.014537174091899781
