Country,Year,Quarter,Month,WeekCode,Week,I7498_6,I7498_7,I7498_8,I7498_9,I7498_10,I7498_11,I7498_12,I7498_13,I7498_14,I7498_15,I7498_16,I7498_17
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","July, 2003",200328.0,"Week 28, 2003",302651.0,3720.0,69081.0,375452.0,98421.0,94314.0,8012.0,5048.0,2964.0,384244.0,7155.0,122380.0
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","July, 2003",200329.0,"Week 29, 2003",299692.0,3600.0,71998.0,375290.0,92707.0,87326.0,8209.0,5283.0,2926.0,388844.0,7155.0,121625.0
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","July, 2003",200330.0,"Week 30, 2003",295914.0,3997.0,78841.0,378752.0,96706.0,93572.0,7425.0,4480.0,2945.0,391984.0,7175.0,124539.0
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","August, 2003",200331.0,"Week 31, 2003",294062.0,4537.0,65924.0,364523.0,80564.0,78176.0,5792.0,2835.0,2957.0,390926.0,7175.0,119933.0
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","August, 2003",200332.0,"Week 32, 2003",297579.0,3595.0,69466.0,370641.0,85716.0,82328.0,6333.0,2886.0,3447.0,391241.0,7175.0,119824.0
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","August, 2003",200333.0,"Week 33, 2003",297936.0,3562.0,81196.0,382694.0,87104.0,83215.0,5786.0,2806.0,2980.0,392197.0,7175.0,109568.0
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","August, 2003",200334.0,"Week 34, 2003",295313.0,3558.0,75439.0,374309.0,74786.0,69548.0,6263.0,3312.0,2951.0,392463.0,7211.0,106413.0
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","August, 2003",200335.0,"Week 35, 2003",292483.0,3505.0,72861.0,368849.0,67890.0,63957.0,5746.0,2795.0,2951.0,395551.0,7211.0,107548.0
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","September, 2003",200336.0,"Week 36, 2003",296336.0,3426.0,77081.0,376843.0,73099.0,69635.0,5843.0,2865.0,2978.0,401292.0,7211.0,110601.0
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","September, 2003",200337.0,"Week 37, 2003",296867.0,3540.0,78337.0,378743.0,75571.0,73219.0,6093.0,3116.0,2977.0,402198.0,7211.0,112329.0
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","September, 2003",200338.0,"Week 38, 2003",294401.0,3660.0,69108.0,367168.0,63082.0,59675.0,6120.0,3106.0,3014.0,406673.0,7229.0,115936.0
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","September, 2003",200339.0,"Week 39, 2003",292117.0,4028.0,71863.0,368009.0,62738.0,59439.0,5402.0,2433.0,2969.0,409702.0,7229.0,117062.0
India,"Calendar Year (Jan - Dec), 2003","October - December, 2003","October, 2003",200340.0,"Week 40, 2003",295499.0,4181.0,72543.0,372223.0,76431.0,72321.0,5009.0,2019.0,2990.0,398973.0,7229.0,115418.0
India,"Calendar Year (Jan - Dec), 2003","October - December, 2003","October, 2003",200341.0,"Week 41, 2003",300346.0,3877.0,83403.0,387626.0,81829.0,76015.0,5489.0,2486.0,3003.0,410168.0,7229.0,117089.0
India,"Calendar Year (Jan - Dec), 2003","October - December, 2003","October, 2003",200342.0,"Week 42, 2003",301231.0,3463.0,67583.0,372278.0,62624.0,59518.0,5225.0,2297.0,2928.0,414273.0,7229.0,117072.0
India,"Calendar Year (Jan - Dec), 2003","October - December, 2003","October, 2003",200343.0,"Week 43, 2003",305416.0,3457.0,72186.0,381059.0,71009.0,66684.0,5636.0,2601.0,3035.0,416714.0,7229.0,119528.0
India,"Calendar Year (Jan - Dec), 2003","October - December, 2003","October, 2003",200344.0,"Week 44, 2003",306319.0,4847.0,75496.0,386662.0,71210.0,66168.0,5552.0,2653.0,2899.0,419623.0,7252.0,116975.0
India,"Calendar Year (Jan - Dec), 2003","October - December, 2003","November, 2003",200345.0,"Week 45, 2003",310187.0,3292.0,73190.0,386670.0,66974.0,61156.0,5183.0,2289.0,2894.0,422132.0,7252.0,114871.0
India,"Calendar Year (Jan - Dec), 2003","October - December, 2003","November, 2003",200346.0,"Week 46, 2003",310416.0,3280.0,68860.0,382555.0,64353.0,58203.0,4708.0,2633.0,2075.0,424723.0,7252.0,118480.0
India,"Calendar Year (Jan - Dec), 2003","October - December, 2003","November, 2003",200347.0,"Week 47, 2003",309114.0,3255.0,74070.0,386440.0,60919.0,54618.0,5094.0,3020.0,2074.0,436956.0,7252.0,123781.0
