Country,Year,Month,D6725_4,I6725_5,I6725_6,I6725_7,I6725_8,I6725_9,I6725_10,I6725_11,I6725_12,I6725_13,I6725_14,I6725_15,I6725_16,I6725_17,I6725_18,I6725_19,I6725_20,I6725_21
India,"Financial Year (Apr - Mar), 2001","September, 2001", 21-Sep-2001,529355.0,48261.0,481094.0,77633.0,7426.0,5741.0,1624.0,4117.0,64466.0,39020.0,25446.0,559607.0,,,,880.0,
India,"Financial Year (Apr - Mar), 2001","September, 2001", 7-Sep-2001,527634.0,50069.0,477565.0,76974.0,7057.0,5792.0,1653.0,4139.0,64125.0,38588.0,25538.0,555419.0,,,,880.0,
India,"Financial Year (Apr - Mar), 2001","October, 2001", 19-Oct-2001,544125.0,50280.0,493845.0,79031.0,7663.0,5782.0,1582.0,4200.0,65587.0,38043.0,27544.0,574247.0,,,,1370.0,
India,"Financial Year (Apr - Mar), 2001","October, 2001", 5-Oct-2001,542538.0,50202.0,492337.0,78821.0,7657.0,5788.0,1625.0,4162.0,65376.0,39285.0,26091.0,572527.0,,,,1370.0,
India,"Financial Year (Apr - Mar), 2001","November, 2001", 16-Nov-2001,548632.0,51237.0,497395.0,79057.0,8339.0,5820.0,1604.0,4216.0,64898.0,37563.0,27335.0,577822.0,,,,1370.0,
India,"Financial Year (Apr - Mar), 2001","November, 2001", 2-Nov-2001,545934.0,52075.0,493859.0,79130.0,8052.0,5815.0,1607.0,4208.0,65263.0,37975.0,27288.0,574358.0,,,,1370.0,
India,"Financial Year (Apr - Mar), 2001","November, 2001", 30-Nov-2001,549040.0,51730.0,497310.0,79334.0,8791.0,5736.0,1553.0,4183.0,64808.0,38088.0,26720.0,578557.0,,,,1912.0,
India,"Financial Year (Apr - Mar), 2001","December, 2001", 14-Dec-2001,548690.0,51763.0,496926.0,79758.0,8714.0,5746.0,1602.0,4144.0,65298.0,38647.0,26651.0,578596.0,,,,1912.0,
India,"Financial Year (Apr - Mar), 2001","December, 2001", 28-Dec-2001,558599.0,52276.0,506323.0,78851.0,8612.0,5778.0,1612.0,4166.0,64461.0,37389.0,27072.0,586713.0,,,,1539.0,
India,"Financial Year (Apr - Mar), 2001","January, 2002", 11-Jan-2002,565818.0,53195.0,512623.0,78573.0,8609.0,5751.0,1616.0,4136.0,64212.0,37495.0,26717.0,592735.0,,,,1539.0,
India,"Financial Year (Apr - Mar), 2001","January, 2002", 25-Jan-2002,568824.0,54680.0,514144.0,78344.0,8811.0,5734.0,1617.0,4117.0,63799.0,37639.0,26160.0,594151.0,,,,1663.0,
India,"Financial Year (Apr - Mar), 2001","February, 2002", 22-Feb-2002,571343.0,53562.0,517781.0,78462.0,8907.0,5762.0,1627.0,4135.0,63792.0,37919.0,25873.0,597494.0,,,,1251.0,
India,"Financial Year (Apr - Mar), 2001","February, 2002", 8-Feb-2002,570090.0,54981.0,515109.0,78466.0,9022.0,5782.0,1620.0,4162.0,63662.0,37294.0,26368.0,595238.0,,,,1663.0,
India,"Financial Year (Apr - Mar), 2001","March, 2002", 22-Mar-2002,585832.0,53978.0,531854.0,81057.0,8651.0,5903.0,1580.0,4323.0,66503.0,39521.0,26982.0,614162.0,,,,1251.0,
India,"Financial Year (Apr - Mar), 2001","March, 2002", 8-Mar-2002,574571.0,53904.0,520666.0,79028.0,8886.0,5694.0,1565.0,4128.0,64448.0,37960.0,26488.0,600945.0,,,,1251.0,
India,"Financial Year (Apr - Mar), 2002","April, 2002", 19-Apr-2002,597640.0,52484.0,545157.0,80212.0,7665.0,5768.0,1532.0,4235.0,66779.0,40113.0,26666.0,625368.0,,,,,
India,"Financial Year (Apr - Mar), 2002","May, 2002", 17-May-2002,642195.0,58793.0,583402.0,87126.0,7377.0,7736.0,1507.0,6229.0,72013.0,39028.0,32985.0,670527.0,,,,,
India,"Financial Year (Apr - Mar), 2002","May, 2002", 3-May-2002,634310.0,57000.0,577310.0,79171.0,7867.0,5755.0,1531.0,4224.0,65550.0,39497.0,26053.0,656481.0,,,,,
India,"Financial Year (Apr - Mar), 2002","May, 2002", 31-May-2002,644036.0,60669.0,583367.0,89538.0,6657.0,9543.0,1546.0,7997.0,73339.0,40263.0,33075.0,672905.0,,,,,
India,"Financial Year (Apr - Mar), 2002","June, 2002", 14-Jun-2002,643884.0,60446.0,583438.0,87943.0,7138.0,9642.0,1532.0,8110.0,71163.0,38793.0,32369.0,671844.0,,,,463.0,
India,"Financial Year (Apr - Mar), 2002","June, 2002", 28-Jun-2002,648050.0,61008.0,587043.0,87753.0,7235.0,9327.0,1521.0,7807.0,71191.0,38848.0,32343.0,675259.0,,,,463.0,
India,"Financial Year (Apr - Mar), 2002","July, 2002", 12-Jul-2002,650613.0,59463.0,591150.0,86844.0,7224.0,9331.0,1717.0,7614.0,70289.0,38724.0,31566.0,678457.0,,,,463.0,
India,"Financial Year (Apr - Mar), 2002","July, 2002", 26-Jul-2002,653493.0,59077.0,594415.0,86274.0,7123.0,9181.0,1496.0,7685.0,69970.0,38711.0,31259.0,681152.0,,,,463.0,
India,"Financial Year (Apr - Mar), 2002","August, 2002", 23-Aug-2002,652520.0,56400.0,596119.0,87816.0,7320.0,9046.0,1459.0,7587.0,71450.0,39648.0,31801.0,684398.0,,,,463.0,
India,"Financial Year (Apr - Mar), 2002","August, 2002", 9-Aug-2002,653454.0,58853.0,594601.0,86227.0,7124.0,9107.0,1453.0,7653.0,69997.0,38483.0,31514.0,681291.0,,,,463.0,
India,"Financial Year (Apr - Mar), 2002","September, 2002", 20-Sep-2002,661731.0,53362.0,608368.0,87560.0,7710.0,8979.0,1460.0,7519.0,70871.0,39882.0,30989.0,696629.0,,,,701.0,
India,"Financial Year (Apr - Mar), 2002","September, 2002", 6-Sep-2002,658239.0,56178.0,602062.0,87486.0,7504.0,9066.0,1456.0,7610.0,70915.0,39758.0,31157.0,690010.0,,,,463.0,
India,"Financial Year (Apr - Mar), 2002","October, 2002", 18-Oct-2002,673533.0,52705.0,620829.0,87654.0,7385.0,8988.0,1473.0,7515.0,71281.0,39853.0,31428.0,708824.0,,,,341.0,
India,"Financial Year (Apr - Mar), 2002","October, 2002", 4-Oct-2002,673112.0,53226.0,619886.0,87763.0,7645.0,9040.0,1462.0,7578.0,71078.0,40007.0,31071.0,707990.0,,,,341.0,
India,"Financial Year (Apr - Mar), 2002","November, 2002", 1-Nov-2002,679885.0,55413.0,624471.0,89518.0,7174.0,8976.0,1452.0,7524.0,73368.0,41579.0,31790.0,714331.0,,,,341.0,
India,"Financial Year (Apr - Mar), 2002","November, 2002", 15-Nov-2002,681248.0,54204.0,627044.0,89833.0,6828.0,9034.0,1457.0,7576.0,73971.0,42680.0,31292.0,717218.0,,,,341.0,
India,"Financial Year (Apr - Mar), 2002","November, 2002", 29-Nov-2002,682390.0,54346.0,628043.0,89932.0,5897.0,8977.0,1468.0,7509.0,75058.0,43819.0,31239.0,718317.0,,,,341.0,
India,"Financial Year (Apr - Mar), 2002","December, 2002", 13-Dec-2002,684042.0,52227.0,631815.0,90616.0,5829.0,8966.0,1559.0,7407.0,75821.0,44987.0,30834.0,722772.0,,,,341.0,
India,"Financial Year (Apr - Mar), 2002","December, 2002", 27-Dec-2002,688934.0,51947.0,636988.0,90892.0,5731.0,8940.0,1490.0,7450.0,76221.0,45370.0,30852.0,728211.0,,,,332.0,
India,"Financial Year (Apr - Mar), 2002","January, 2003", 10-Jan-2003,691640.0,50142.0,641498.0,91360.0,5735.0,8970.0,1492.0,7477.0,76655.0,45089.0,31566.0,733190.0,,,,332.0,
India,"Financial Year (Apr - Mar), 2002","January, 2003", 24-Jan-2003,696551.0,49784.0,646767.0,92117.0,5477.0,8932.0,1489.0,7443.0,77708.0,45832.0,31875.0,739346.0,,,,462.0,
India,"Financial Year (Apr - Mar), 2002","February, 2003", 21-Feb-2003,708263.0,50227.0,658036.0,93007.0,5445.0,8842.0,1458.0,7384.0,78721.0,46638.0,32083.0,751506.0,,,,462.0,
India,"Financial Year (Apr - Mar), 2002","February, 2003", 7-Feb-2003,703859.0,50432.0,653427.0,91833.0,5495.0,9035.0,1471.0,7564.0,77303.0,45781.0,31522.0,745722.0,,,,462.0,
India,"Financial Year (Apr - Mar), 2002","March, 2003", 21-Mar-2003,725368.0,49479.0,675888.0,93036.0,4258.0,9017.0,1431.0,7586.0,79760.0,46633.0,33127.0,769219.0,,,,295.0,
India,"Financial Year (Apr - Mar), 2002","March, 2003", 7-Mar-2003,714622.0,49716.0,664906.0,93762.0,5075.0,9526.0,1816.0,7709.0,79161.0,46962.0,32200.0,759123.0,,,,455.0,
India,"Financial Year (Apr - Mar), 2003","April, 2003", 18-Apr-2003,732872.0,44589.0,688283.0,89349.0,3565.0,8832.0,1422.0,7410.0,76952.0,45509.0,31443.0,777631.0,,,,,
India,"Financial Year (Apr - Mar), 2003","May, 2003", 16-May-2003,731140.0,49277.0,681863.0,87349.0,3363.0,9073.0,1443.0,7631.0,74913.0,45991.0,28922.0,769212.0,,,,,
India,"Financial Year (Apr - Mar), 2003","May, 2003", 2-May-2003,731259.0,49922.0,681337.0,88307.0,3514.0,9057.0,1446.0,7611.0,75737.0,45894.0,29842.0,769644.0,,,,,
India,"Financial Year (Apr - Mar), 2003","May, 2003", 30-May-2003,730653.0,51047.0,679606.0,88503.0,3559.0,9053.0,1395.0,7658.0,75891.0,46192.0,29699.0,768110.0,,,,,
India,"Financial Year (Apr - Mar), 2003","June, 2003", 13-Jun-2003,730130.0,50565.0,679565.0,87691.0,3496.0,8915.0,1365.0,7550.0,75279.0,45638.0,29642.0,767589.0,,,,334.0,
India,"Financial Year (Apr - Mar), 2003","June, 2003", 27-Jun-2003,732817.0,50066.0,682751.0,87950.0,3626.0,8896.0,1426.0,7470.0,75428.0,45729.0,29699.0,771035.0,,,,334.0,
India,"Financial Year (Apr - Mar), 2003","July, 2003", 11-Jul-2003,725574.0,43588.0,681986.0,88837.0,3524.0,8735.0,1367.0,7368.0,76577.0,46583.0,29995.0,771216.0,,,,393.0,
